year,source_file,line_no,risk_category,risk_label,matched_term,snippet
2021,2021_annual_report.txt,32,solvency,偿债风险,债券,第三节 公司简介和主要财务指标 6 第十节 债券相关情况 121
2021,2021_annual_report.txt,68,profitability,盈利风险,利润,五、 董事会决议通过的本报告期利润分配预案或公积金转增股本预案
2021,2021_annual_report.txt,72,profitability,盈利风险,利润,"为基数计算，合计拟派发现金红利4,849,364,121.87元（含税）；本次利润分配将以实施权益分派股权登记日登"
2021,2021_annual_report.txt,74,profitability,盈利风险,利润,每股分配比例，并将另行公告具体调整情况。上述利润分配预案已经公司第五届董事会第十四次会议审议通过，
2021,2021_annual_report.txt,81,market,市场风险,投资,年报中涉及未来计划等前瞻性陈述，不构成公司对投资者的实质承诺，请投资者注意投资风险。
2021,2021_annual_report.txt,84,liquidity,流动性风险,资金,七、 是否存在被控股股东及其关联方非经营性占用资金情况
2021,2021_annual_report.txt,84,organizational_propagation,组织传导风险,关联,七、 是否存在被控股股东及其关联方非经营性占用资金情况
2021,2021_annual_report.txt,84,organizational_propagation,组织传导风险,控股,七、 是否存在被控股股东及其关联方非经营性占用资金情况
2021,2021_annual_report.txt,90,organizational_propagation,组织传导风险,担保,八、 是否存在违反规定决策程序对外提供担保的情况
2021,2021_annual_report.txt,133,organizational_propagation,组织传导风险,集团,中铁工 指 中国铁路工程集团有限公司
2021,2021_annual_report.txt,145,organizational_propagation,组织传导风险,集团,中铁长江院 指 中铁长江交通设计集团有限公司
2021,2021_annual_report.txt,148,organizational_propagation,组织传导风险,集团,中铁水利院 指 中铁水利水电规划设计集团有限公司
2021,2021_annual_report.txt,151,organizational_propagation,组织传导风险,集团,中铁装备 指 中铁工程装备集团有限公司
2021,2021_annual_report.txt,154,market,市场风险,投资,中国铁工投资 指 中国铁工投资建设集团有限公司
2021,2021_annual_report.txt,154,organizational_propagation,组织传导风险,集团,中国铁工投资 指 中国铁工投资建设集团有限公司
2021,2021_annual_report.txt,157,market,市场风险,海外,中海外 指 中国海外工程有限责任公司
2021,2021_annual_report.txt,163,market,市场风险,竞争,四强五优 指 创新能力强、竞争能力强、抗风险能力强、发展能力强，人才优
2021,2021_annual_report.txt,182,project,项目风险,安全,系）；“8”，指强化“八个”到位（安全意识到位、队伍建设到位、安
2021,2021_annual_report.txt,183,project,项目风险,安全,全投入到位、刚性交底到位、红线卡控到位、隐患排查到位、安全
2021,2021_annual_report.txt,190,project,项目风险,PPP,PPP 指 Public-Private-Partnership，政府和社会资本合作
2021,2021_annual_report.txt,213,project,项目风险,质量,三个转变 指 推动中国制造向中国创造转变、中国速度向中国质量转变、中国产
2021,2021_annual_report.txt,220,market,市场风险,政策,国企改革三年行动 指 国有企业改革“1+N”政策体系和顶层设计行动
2021,2021_annual_report.txt,231,profitability,盈利风险,净利润,新签订单 营业总收入 净利润
2021,2021_annual_report.txt,231,profitability,盈利风险,利润,新签订单 营业总收入 净利润
2021,2021_annual_report.txt,250,profitability,盈利风险,利润,归属上市公司股东的 归属上市公司股东的扣除 息税折旧摊销前利润
2021,2021_annual_report.txt,251,profitability,盈利风险,净利润,净利润 非经常性损益后的净利润 (EBITDA)
2021,2021_annual_report.txt,251,profitability,盈利风险,利润,净利润 非经常性损益后的净利润 (EBITDA)
2021,2021_annual_report.txt,268,solvency,偿债风险,资产负债率,基本每股收益 基本每股收益 资产负债率
2021,2021_annual_report.txt,268,solvency,偿债风险,负债,基本每股收益 基本每股收益 资产负债率
2021,2021_annual_report.txt,296,compliance,合规风险,执行,董事长、执行董事、党委书记
2021,2021_annual_report.txt,301,market,市场风险,投资,尊敬的各位股东、各位投资者 ：
2021,2021_annual_report.txt,304,project,项目风险,质量,院决策部署以及国资委工作要求，高举“开路先锋”大旗，聚焦高质量发展，强化战略引领，坚持“123456”工作策略，
2021,2021_annual_report.txt,306,market,市场风险,市场,35位，实现了“十四五”开门红，向党和国家、资本市场交出亮丽成绩单。
2021,2021_annual_report.txt,310,project,项目风险,质量,点工程以及京哈、张吉怀、牡佳等多条高速铁路 ；高起点高标准高质量推进川藏铁路这一重大世纪工程建设 ；深入实践
2021,2021_annual_report.txt,312,compliance,合规风险,环保,证下通车运营 ；落实生态环保各项措施，积极参与长江黄河流域生态保护 ；深度参与全面脱贫与乡村振兴有效衔接，投
2021,2021_annual_report.txt,317,market,市场风险,投资,公司总部“职能管理、生产经营管理、监督保障”三大系统，优化经营体制机制，推进投资公司专业化差异化实体化发
2021,2021_annual_report.txt,318,organizational_propagation,组织传导风险,子公司,展，出台加强董事会建设、完善母子公司治理、深化三项制度改革等一系列重大举措，推动中国特色现代企业制度更加
2021,2021_annual_report.txt,338,project,项目风险,安全,一年来，我们强化企业风控，以依法合规管理的有力有效彰显了“开路先锋”的治企理念。统筹发展与安全，坚持安不
2021,2021_annual_report.txt,338,compliance,合规风险,合规,一年来，我们强化企业风控，以依法合规管理的有力有效彰显了“开路先锋”的治企理念。统筹发展与安全，坚持安不
2021,2021_annual_report.txt,339,project,项目风险,项目,忘危、治不忘乱，主动排雷、精准拆弹，全面核查子公司风险要素，成功化解“大马城”项目风险，不断提升风险防控
2021,2021_annual_report.txt,339,organizational_propagation,组织传导风险,子公司,忘危、治不忘乱，主动排雷、精准拆弹，全面核查子公司风险要素，成功化解“大马城”项目风险，不断提升风险防控
2021,2021_annual_report.txt,340,compliance,合规风险,合规,能力。加强“法治中铁、合规中铁、廉洁中铁”建设，培育“心中有法、行必依法、决策问法、治理靠法”的法治文化。
2021,2021_annual_report.txt,341,project,项目风险,安全,构建全面风险管理体系，将风险管理嵌入企业生产经营各个环节，重点防范化解潜在系统性风险，筑牢安全发展“防火
2021,2021_annual_report.txt,344,project,项目风险,质量,一年来，我们加强党的领导，以高质量党建的引领保障彰显了“开路先锋”的政治本色。围绕“学党史”“庆百年”，广
2021,2021_annual_report.txt,347,project,项目风险,质量,度融合 ；匹配企业高质量发展需要，打造高素质专业化干部人才队伍 ；持续深化作风建设，大力弘扬伟大建党精神，高
2021,2021_annual_report.txt,353,project,项目风险,质量,理现代”的世界一流企业，以高质量发展服务国家、奉献社会、回报股东、回馈员工！
2021,2021_annual_report.txt,441,operation,营运风险,结算,公司A股股份登记处 名称 中国证券登记结算有限责任公司上海分公司
2021,2021_annual_report.txt,465,profitability,盈利风险,净利润,"归属于上市公司股东的净利润 27,617,610 25,187,793 9.65 23,677,567"
2021,2021_annual_report.txt,465,profitability,盈利风险,利润,"归属于上市公司股东的净利润 27,617,610 25,187,793 9.65 23,677,567"
2021,2021_annual_report.txt,467,profitability,盈利风险,净利润,"非经常性损益的净利润 26,060,894 21,835,586 19.35 17,893,515"
2021,2021_annual_report.txt,467,profitability,盈利风险,利润,"非经常性损益的净利润 26,060,894 21,835,586 19.35 17,893,515"
2021,2021_annual_report.txt,468,liquidity,流动性风险,现金流,"经营活动产生的现金流量净额 13,069,466 30,994,071 -57.83 22,197,786"
2021,2021_annual_report.txt,505,profitability,盈利风险,净利润,（一）同时按照国际会计准则与按中国会计准则披露的财务报告中净利润和归属于上市公司股东的净资产差异情况
