model,feature,importance,rank_abs,importance_type
logistic_regression,revenue_growth_pct,-0.418289,,standardized_coefficient
logistic_regression,parent_net_profit_growth_pct,-0.033839,,standardized_coefficient
logistic_regression,operating_cash_flow_to_revenue_pct,-0.281480,,standardized_coefficient
logistic_regression,asset_liability_ratio_pct,0.367706,,standardized_coefficient
logistic_regression,current_ratio,-0.629881,,standardized_coefficient
logistic_regression,quick_ratio,0.403694,,standardized_coefficient
logistic_regression,cash_ratio,-1.019537,,standardized_coefficient
logistic_regression,gross_margin_pct,-0.254774,,standardized_coefficient
logistic_regression,net_profit_margin_pct,-0.166203,,standardized_coefficient
logistic_regression,roe_weighted_pct,0.634382,,standardized_coefficient
logistic_regression,receivable_turnover_days,0.194705,,standardized_coefficient
logistic_regression,inventory_turnover_days,-0.122946,,standardized_coefficient
logistic_regression,payable_turnover_days,0.517811,,standardized_coefficient
logistic_regression,interest_coverage_proxy,-0.047045,,standardized_coefficient
logistic_regression,log_revenue_100m,0.346133,,standardized_coefficient
logistic_regression,log_total_assets_100m,0.220561,,standardized_coefficient
random_forest,revenue_growth_pct,0.037620,,gini_importance
random_forest,parent_net_profit_growth_pct,0.037447,,gini_importance
random_forest,operating_cash_flow_to_revenue_pct,0.042036,,gini_importance
random_forest,asset_liability_ratio_pct,0.104993,,gini_importance
random_forest,current_ratio,0.082921,,gini_importance
random_forest,quick_ratio,0.056559,,gini_importance
random_forest,cash_ratio,0.110707,,gini_importance
random_forest,gross_margin_pct,0.079927,,gini_importance
random_forest,net_profit_margin_pct,0.055401,,gini_importance
random_forest,roe_weighted_pct,0.052570,,gini_importance
random_forest,receivable_turnover_days,0.045881,,gini_importance
random_forest,inventory_turnover_days,0.056585,,gini_importance
random_forest,payable_turnover_days,0.058347,,gini_importance
random_forest,interest_coverage_proxy,0.071192,,gini_importance
random_forest,log_revenue_100m,0.071282,,gini_importance
random_forest,log_total_assets_100m,0.036532,,gini_importance
