node_id,label,node_type,community,weighted_degree,in_strength,out_strength,degree_centrality,betweenness_centrality,closeness_centrality,pagerank
company_9a3040dd6ec0,中国中铁股份有限公司,company,4,60.0000,0.0000,60.0000,0.223684,0.317592,0.355140,0.008699
risk_type_ff0c9bc7b1c2,compliance,risk_type,2,29.0000,29.0000,0.0000,0.118421,0.285370,0.361905,0.051004
risk_type_ed6a9edb2628,liquidity,risk_type,1,24.0000,24.0000,0.0000,0.078947,0.133582,0.273381,0.051289
event_c47f0a9b19dd,OF2024-CONTRACT-ASSET asset_quality_signal,event,4,11.0000,5.0000,6.0000,0.052632,0.026152,0.278388,0.009316
risk_type_40b7822a570d,solvency,risk_type,5,11.0000,11.0000,0.0000,0.039474,0.003454,0.237500,0.023679
event_205595cdeea7,OF2025-CONTRACT-ASSET asset_quality_signal,event,4,11.0000,5.0000,6.0000,0.052632,0.023661,0.286792,0.009316
event_0c6c5aa23950,EX2026-QCC-TUNNEL-23EXEC execution_case,event,1,11.0000,4.0000,7.0000,0.065789,0.041255,0.244373,0.011657
event_8d8877ce56b3,EX2026-QCC-TUNNEL-EXEC execution_case,event,1,11.0000,4.0000,7.0000,0.065789,0.041255,0.244373,0.011657
event_ecc9b74a2852,OF2021-GUARANTEE guarantee,event,4,10.0000,5.0000,5.0000,0.065789,0.020430,0.270463,0.009316
risk_type_7526c16db72f,organizational_propagation,risk_type,4,10.0000,10.0000,0.0000,0.065789,0.017360,0.292308,0.024409
event_26a1ecc1aded,OF2022-GUARANTEE guarantee,event,4,10.0000,5.0000,5.0000,0.065789,0.020430,0.270463,0.009316
event_fbfe31b0371e,EX2023-EXEC-6J-ROADBRIDGE execution_case,event,1,10.0000,3.0000,7.0000,0.065789,0.092094,0.284644,0.016093
event_8b2452c17a14,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,event,2,10.0000,3.0000,7.0000,0.065789,0.086386,0.307692,0.016093
event_3f4895d96d03,OF2023-GUARANTEE guarantee,event,4,10.0000,5.0000,5.0000,0.065789,0.101212,0.334802,0.009316
event_5cb8d8cf500a,OF2024-PROFIT financial_pressure,event,4,10.0000,4.0000,6.0000,0.052632,0.026152,0.278388,0.009192
event_7babe8660715,OF2024-SOLVENCY financial_pressure,event,5,10.0000,4.0000,6.0000,0.052632,0.024277,0.278388,0.009192
event_5e0273dd44be,EX2025-EXEC-3J-BRIDGE execution_case,event,1,10.0000,3.0000,7.0000,0.065789,0.120939,0.278388,0.016093
event_885eda252b36,OF2025-PROFIT financial_pressure,event,4,10.0000,4.0000,6.0000,0.052632,0.023661,0.286792,0.009192
event_2daccdc01f8b,OF2025-SOLVENCY financial_pressure,event,5,10.0000,4.0000,6.0000,0.052632,0.018200,0.286792,0.009192
company_f74e84e69880,中铁隧道局集团有限公司,company,1,10.0000,0.0000,10.0000,0.039474,0.016780,0.251656,0.008699
event_745090759f1f,EX2023-EXEC-10J-2-LIMIT restricted_consumption,event,1,9.0000,2.0000,7.0000,0.065789,0.078761,0.284644,0.016093
event_71f327618b65,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,event,1,9.0000,2.0000,7.0000,0.065789,0.078761,0.284644,0.016093
event_2551562add1b,OF2024-GUARANTEE guarantee,event,4,9.0000,4.0000,5.0000,0.065789,0.031343,0.280443,0.009192
event_4edef0b12c6d,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,event,2,9.0000,2.0000,7.0000,0.065789,0.116149,0.284644,0.010178
event_5a19d5b814ce,OF2021-LITIGATION litigation_contingency,event,2,8.0000,2.0000,6.0000,0.065789,0.051247,0.315353,0.008946
event_1ab59aa13d18,OF2022-LITIGATION litigation_contingency,event,2,8.0000,2.0000,6.0000,0.065789,0.051247,0.315353,0.008946
year_3af67127ffe8,2023,year,1,8.0000,8.0000,0.0000,0.105263,0.270188,0.339286,0.022879
event_9ed9eadb3f99,EX2023-WENSHU-SH-230 civil_litigation,event,2,8.0000,2.0000,6.0000,0.065789,0.073053,0.307692,0.012396
event_e368d51d2d60,EX2023-WENSHU-SH-496 civil_litigation,event,2,8.0000,2.0000,6.0000,0.065789,0.073053,0.307692,0.012396
event_fd9be5b38eca,OF2023-LITIGATION litigation_contingency,event,2,8.0000,2.0000,6.0000,0.065789,0.099078,0.350230,0.008946
event_f7093df3364d,EX2024-WENSHU-LN-1533 civil_litigation,event,3,8.0000,2.0000,6.0000,0.065789,0.103158,0.220290,0.016093
risk_type_02d87bf49ed7,operation,risk_type,4,8.0000,8.0000,0.0000,0.026316,0.001388,0.234568,0.019256
event_ee7a720eb916,OF2024-LITIGATION litigation_contingency,event,2,8.0000,2.0000,6.0000,0.065789,0.106938,0.329004,0.008946
risk_type_828441d4753e,profitability,risk_type,4,8.0000,8.0000,0.0000,0.026316,0.001388,0.234568,0.019117
event_863b3b24d3ea,OF2025-GUARANTEE guarantee,event,4,8.0000,3.0000,5.0000,0.065789,0.022808,0.288973,0.009069
