node_id,label,node_type,year,event_type,risk_type,amount_rmb
company_9a3040dd6ec0,中国中铁股份有限公司,company,,,,
event_ecc9b74a2852,OF2021-GUARANTEE guarantee,event,2021,guarantee,organizational_propagation,153389862000
risk_type_7526c16db72f,organizational_propagation,risk_type,,,,
year_7104bc3a3df9,2021,year,,,,
source_d43b27f6958a,中国中铁2021年年度报告,source,,,,
related_party_9a2b26d69278,集团内子公司、房地产项目购房业主等,related_party,,,,
event_5a19d5b814ce,OF2021-LITIGATION litigation_contingency,event,2021,litigation_contingency,compliance,5255606000
risk_type_ff0c9bc7b1c2,compliance,risk_type,,,,
related_party_542e62056c04,客户、分包商、供应商等,related_party,,,,
event_26a1ecc1aded,OF2022-GUARANTEE guarantee,event,2022,guarantee,organizational_propagation,154518154000
year_63ff7434bd7c,2022,year,,,,
source_16fd4bf840e2,中国中铁2022年年度报告,source,,,,
event_1ab59aa13d18,OF2022-LITIGATION litigation_contingency,event,2022,litigation_contingency,compliance,5115724000
company_086b1b86cf7d,中铁十局集团第二工程有限公司,company,,,,
event_745090759f1f,EX2023-EXEC-10J-2-LIMIT restricted_consumption,event,2023,restricted_consumption,liquidity,
risk_type_ed6a9edb2628,liquidity,risk_type,,,,
year_3af67127ffe8,2023,year,,,,
source_3c59d69e8115,每日经济新闻调查报道,source,,,,
related_party_94a7abcc77d7,新野县安鑫商贸有限公司；郑州市金水区人民法院,related_party,,,,
company_7615305be336,中铁六局集团路桥建设有限公司,company,,,,
event_fbfe31b0371e,EX2023-EXEC-6J-ROADBRIDGE execution_case,event,2023,execution_case,liquidity,6463056
source_090f4f535381,中国质量新闻网/新浪财经转引中国执行信息公开网,source,,,,
related_party_8315c2bb5b76,玉溪市红塔区人民法院等,related_party,,,,
company_334ef122f170,中铁广州工程局集团第三工程有限公司,company,,,,
event_8b2452c17a14,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,event,2023,dishonest_judgment_debtor,compliance,9529917.62
source_5d3eb3bfff6c,每日经济新闻转引中国执行信息公开网,source,,,,
related_party_2b6ee0713c37,陕西康力建工有限公司；天等县人民法院,related_party,,,,
company_d637e6129c10,中铁隧道集团三处有限公司,company,,,,
