year,risk_category,risk_label,seed_terms,word2vec_terms,total_terms,exact_mentions,token_count,mentions_per_10k_tokens,jieba_weight_sum,log_weighted_text_risk,probability_proxy_score,text_weight_score,combined_text_risk_score
2021,liquidity,流动性风险,9,9,18,1340,857,194.5751,0.047956,7.546508,65.37,47.7,89.92
2021,solvency,偿债风险,8,11,19,2050,1631,297.6709,0.100528,8.392718,100.0,100.0,100.0
2021,operation,营运风险,8,12,20,1561,1227,226.6655,0.090141,8.016593,76.15,89.67,95.52
2021,profitability,盈利风险,8,7,15,992,859,144.0437,0.041568,7.187577,48.39,41.35,85.64
2021,project,项目风险,8,3,11,932,813,135.3314,0.037008,7.091479,45.46,36.81,84.5
2021,compliance,合规风险,8,7,15,284,282,41.2383,0.011175,5.715656,13.85,11.12,68.1
2021,market,市场风险,8,10,18,1581,1402,229.5696,0.046278,7.70735,77.12,46.03,91.83
2021,organizational_propagation,组织传导风险,8,3,11,1805,891,262.0956,0.065389,7.989216,88.05,65.05,95.19
2022,liquidity,流动性风险,9,9,18,1249,824,198.6987,0.048552,7.477121,70.53,51.17,91.3
2022,solvency,偿债风险,8,11,19,1771,1419,281.7417,0.094887,8.189603,100.0,100.0,100.0
2022,operation,营运风险,8,12,20,1422,1142,226.2206,0.088899,7.905975,80.29,93.69,96.54
2022,profitability,盈利风险,8,7,15,937,814,149.0638,0.042944,7.137648,52.91,45.26,87.15
2022,project,项目风险,8,3,11,719,655,114.383,0.032601,6.79374,40.6,34.36,82.96
2022,compliance,合规风险,8,7,15,246,244,39.1352,0.012298,5.577141,13.89,12.96,68.1
2022,market,市场风险,8,10,18,1465,1298,233.0613,0.046348,7.62818,82.72,48.85,93.14
2022,organizational_propagation,组织传导风险,8,3,11,1751,865,278.56,0.06793,7.975848,98.87,71.59,97.39
2023,liquidity,流动性风险,9,9,18,1246,817,210.0578,0.050222,7.486505,71.44,50.27,92.94
2023,solvency,偿债风险,8,11,19,1318,1066,222.196,0.075198,7.724897,75.57,75.27,95.9
2023,operation,营运风险,8,12,20,1515,1227,255.4074,0.09991,8.055554,86.87,100.0,100.0
2023,profitability,盈利风险,8,7,15,905,773,152.5701,0.044223,7.110157,51.89,44.26,88.26
2023,project,项目风险,8,3,11,708,655,119.3587,0.033815,6.785811,40.6,33.85,84.24
2023,compliance,合规风险,8,7,15,222,222,37.426,0.005214,5.435365,12.73,5.22,67.47
2023,market,市场风险,8,10,18,1429,1279,240.909,0.047371,7.609603,81.94,47.41,94.46
2023,organizational_propagation,组织传导风险,8,3,11,1744,855,294.0135,0.069663,7.984509,100.0,69.73,99.12
2024,liquidity,流动性风险,9,9,18,1406,910,205.7752,0.049114,7.605252,67.96,46.42,90.13
2024,solvency,偿债风险,8,11,19,2059,1747,301.345,0.105813,8.437866,99.52,100.0,100.0
2024,operation,营运风险,8,12,20,1285,1043,188.0662,0.075584,7.70042,62.11,71.43,91.26
2024,profitability,盈利风险,8,7,15,947,818,138.5982,0.040401,7.131278,45.77,38.18,84.52
2024,project,项目风险,8,3,11,960,901,140.5008,0.042135,7.157356,46.4,39.82,84.82
2024,compliance,合规风险,8,7,15,253,251,37.0278,0.012357,5.605761,12.23,11.68,66.44
2024,market,市场风险,8,10,18,1473,1294,215.581,0.047436,7.641812,71.19,44.83,90.57
2024,organizational_propagation,组织传导风险,8,3,11,2069,986,302.8086,0.072153,8.186215,100.0,68.19,97.02
2025,liquidity,流动性风险,9,9,18,1238,781,189.9297,0.044644,7.440018,56.07,41.33,88.66
2025,solvency,偿债风险,8,11,19,1945,1689,298.3953,0.108026,8.391671,88.09,100.0,100.0
2025,operation,营运风险,8,12,20,1195,972,183.3328,0.073687,7.608941,54.12,68.21,90.67
2025,profitability,盈利风险,8,7,15,835,718,128.1029,0.039566,6.994855,37.82,36.63,83.35
2025,project,项目风险,8,3,11,867,836,133.0122,0.041162,7.0447,39.27,38.1,83.95
2025,compliance,合规风险,8,7,15,199,199,30.5299,0.008428,5.342973,9.01,7.8,63.67
2025,market,市场风险,8,10,18,1505,1300,230.892,0.050155,7.68421,68.16,46.43,91.57
2025,organizational_propagation,组织传导风险,8,3,11,2208,1093,338.7438,0.083457,8.342936,100.0,77.26,99.42
