event_id,source_type,source_name,source_url,access_date,search_keyword,company_name,company_role,related_party,event_type,risk_type,event_date,year,province,city,case_no,cause,amount_rmb,summary,severity_score,probability_score,evidence_status,notes
EX2023-WENSHU-SH-230,wenshu,上海铁路运输法院民事判决书（2023）沪7101民初230号,https://www.hshfy.sh.cn/shfy/web/flws2pdf.jsp?pa=adGFoPaOoMjAyM6Opu6Y3MTAxw%2FGz9TIzMLrFJndzeGg9MSZ3c2xiPcPxysLF0L72yukPdcssz,2026-07-01,中铁上海工程局 买卖合同纠纷 （2023）沪7101民初230号,中铁上海工程局集团有限公司,defendant,河北通力金属制品有限公司,civil_litigation,compliance,2023-04-26,2023,上海,上海,（2023）沪7101民初230号,买卖合同纠纷,938036.20,上海铁路运输法院判决中铁上海工程局集团有限公司支付货款、运费等约93.80万元，反映供应链结算争议。,2,3,core,法院公开 PDF，可作为司法样本；金额按判决披露的付款义务整理。
EX2023-WENSHU-SH-496,wenshu,上海铁路运输法院民事判决书（2023）沪7101民初496号,https://www.hshfy.sh.cn/shfy/web/flws2pdf.jsp?pa=adGFoPaOoMjAyM6Opu6Y3MTAxw%2FGz9TQ5NrrFJndzeGg9MSZ3c2xiPcPxysLF0L72yukPdcssz,2026-07-01,中铁上海工程局 买卖合同纠纷 （2023）沪7101民初496号,中铁上海工程局集团有限公司,defendant,江苏诚鑫达供应链管理有限公司,civil_litigation,compliance,2023-06-28,2023,上海,上海,（2023）沪7101民初496号,买卖合同纠纷,692215.45,上海铁路运输法院判决中铁上海工程局集团有限公司承担约69.22万元货款及相关费用，补充供应链付款类司法样本。,2,3,core,法院公开 PDF，可作为司法样本；最终论文引用时需再次打开 PDF 复核。
EX2024-WENSHU-LN-1533,wenshu,辽宁省朝阳市中级人民法院二审判决书（2024）辽13民终1533号,https://zh.wikisource.org/wiki/%E4%B8%AD%E9%93%81%E4%B9%9D%E5%B1%80%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B8%8E%E8%BE%BD%E5%AE%81%E5%8D%8E%E5%B1%95%E5%B8%82%E6%94%BF%E5%B7%A5%E7%A8%8B%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%BB%BA%E8%AE%BE%E5%B7%A5%E7%A8%8B%E6%96%BD%E5%B7%A5%E5%90%88%E5%90%8C%E7%BA%A0%E7%BA%B7%E4%BA%8C%E5%AE%A1%E5%88%A4%E5%86%B3%E4%B9%A6,2026-07-01,中铁九局 辽宁华展 建设工程施工合同纠纷 二审判决,中铁九局集团有限公司,appellant_defendant,辽宁华展市政工程有限公司,civil_litigation,project,2024-08-02,2024,辽宁,朝阳,（2024）辽13民终1533号,建设工程施工合同纠纷,2426785.19,二审维持一审关于支付工程款约242.68万元及利息的结果，体现项目结算和分包争议风险。,2,3,candidate,维基文库转载裁判文书，原始裁判文书网页面可能需要人工登录复核。
EX2023-EXEC-GZ-417,execution,每日经济新闻转引中国执行信息公开网,https://www.nbd.com.cn/articles/2024-04-10/3321035.html,2026-07-01,中铁广州工程局集团第三工程有限公司 （2023）桂1425执417号,中铁广州工程局集团第三工程有限公司,dishonest_judgment_debtor,陕西康力建工有限公司；天等县人民法院,dishonest_judgment_debtor,compliance,2023,2023,广西,崇左,（2023）桂1425执417号,工程款及相关费用未履行,9529917.62,公开报道援引执行信息显示，该公司因工程款、案件受理费、保全费、担保费等约952.99万元被列入失信被执行人样本。,3,4,candidate,报道含中国执行信息公开网截图；最终使用前应在执行平台或法院文书中人工复核。
EX2023-EXEC-TUNNEL-3-LIMIT,execution,每日经济新闻调查报道,https://www.nbd.com.cn/articles/2024-04-10/3321035.html,2026-07-01,中铁隧道集团三处有限公司 限制消费令 国内非涉外仲裁裁决,中铁隧道集团三处有限公司,restricted_consumption_subject,深圳市柳空压缩机有限公司等五家公司；深圳市南山区人民法院,restricted_consumption,liquidity,2023-11-01,2023,广东,深圳,未披露,租赁合同与仲裁裁决未履行,512000,报道披露该公司在国内非涉外仲裁裁决执行中被出具限制消费令，报道列明两笔租赁欠款合计约51.20万元。,2,4,candidate,金额为报道披露的两笔租赁欠款合计，不代表全部执行标的；需平台复核。
EX2023-EXEC-10J-2-LIMIT,execution,每日经济新闻调查报道,https://www.nbd.com.cn/articles/2024-04-10/3321035.html,2026-07-01,中铁十局集团第二工程有限公司 限制消费令 买卖合同纠纷,中铁十局集团第二工程有限公司,restricted_consumption_subject,新野县安鑫商贸有限公司；郑州市金水区人民法院,restricted_consumption,liquidity,2023-11-11,2023,河南,郑州,未披露,买卖合同纠纷执行未履行,,报道披露供应商申请执行买卖合同纠纷后，法院对中铁十局二公司及法定代表人出具限制消费令，体现材料款拖欠和执行压力。,2,4,candidate,报道披露法院、日期、申请执行主体和纠纷类型；金额为访谈估算区间，未录入结构化金额。
EX2023-EXEC-6J-ROADBRIDGE,execution,中国质量新闻网/新浪财经转引中国执行信息公开网,https://finance.sina.cn/2023-01-31/detail-imyeancp0172215.d.html?vt=4,2026-07-01,中铁六局集团路桥建设有限公司 2023年1月 被执行人 6463056,中铁六局集团路桥建设有限公司,judgment_debtor,玉溪市红塔区人民法院等,execution_case,liquidity,2023-01-31,2023,云南,玉溪,（2023）云0402执170号等,被执行人信息新增,6463056,公开报道援引执行信息显示，该公司2023年1月新增3条被执行人信息，执行标的合计646.31万元。,3,4,candidate,报道列出至少一个案号及法院；其余两条需人工补齐。
EX2025-EXEC-3J-BRIDGE,execution,经济参考网/新浪财经转引天眼查,https://finance.sina.com.cn/stock/relnews/cn/2025-05-09/doc-inevxzxu7563170.shtml,2026-07-01,中铁三局集团桥隧工程有限公司 新增 被执行人 1360万元,中铁三局集团桥隧工程有限公司,judgment_debtor,四川省成都市中级人民法院,execution_case,liquidity,2025-05-09,2025,四川,成都,未披露,新增两条被执行人信息,13600000,公开报道援引天眼查显示，该公司新增两条被执行人信息，执行金额分别约42.67万元和1319万元，合计约1360万元。,3,4,candidate,数据来自公开报道转引的企业风险平台，案件细节尚未披露；需执行平台复核。
EX2026-QCC-TUNNEL-PENALTY,qcc,财中社转引企查查,https://m.caizhongshe.cn/news-7332928644422008550.html,2026-07-01,中铁隧道局 企查查 行政处罚 460万,中铁隧道局集团有限公司,penalized_entity,行政监管部门,administrative_penalty,compliance,2026-02-14,2026,,,未披露,行政处罚记录汇总,4600000,财中社报道援引企查查数据称，中铁隧道局拥有26条行政处罚记录，罚款总额超过460万元。,2,4,verify,企查查汇总指标，非逐条处罚明细；需授权导出或人工逐条复核后进入最终结论。
EX2026-QCC-TUNNEL-EXEC,qcc,财中社转引企查查,https://m.caizhongshe.cn/news-7332928644422008550.html,2026-07-01,中铁隧道局 企查查 被执行人 1.3亿元,中铁隧道局集团有限公司,judgment_debtor,多地法院,execution_case,liquidity,2026-02-14,2026,,,未披露,被执行人信息汇总,130000000,财中社报道援引企查查数据称，截至2026年2月14日，中铁隧道局存在29条被执行人信息，被执行总金额约1.3亿元。,4,4,verify,企查查汇总指标，可能与逐条执行案件重复；后续需去重并核验明细。
EX2026-QCC-TUNNEL-23EXEC,qcc,财中社转引企查查,https://m.caizhongshe.cn/news-7332928644422008550.html,2026-07-01,中铁隧道局 40天 23起 执行 9458万元,中铁隧道局集团有限公司,judgment_debtor,天津市滨海新区人民法院；聊城市东昌府区人民法院等,execution_case,liquidity,2026-02-10,2026,天津；山东,天津；聊城,（2026）津0116执2886号；（2026）鲁1502执2000号等,短期内新增多起强制执行案件,94580000,报道称2026年1月13日至2月10日不到40天内，中铁隧道局累计新增23起执行案件，总执行标的约9458万元。,4,4,candidate,报道列出部分案号、执行法院和金额；与企查查汇总被执行金额存在重叠风险，建模前需做事件级去重。
