company_code,company_name,short_name,secu_code,year,notice_date,source_url,access_date,revenue_100m_rmb,revenue_growth_pct,parent_net_profit_100m_rmb,parent_net_profit_growth_pct,operating_cash_flow_to_revenue_pct,asset_liability_ratio_pct,current_ratio,quick_ratio,cash_ratio,gross_margin_pct,net_profit_margin_pct,roe_weighted_pct,receivable_turnover_days,inventory_turnover_days,payable_turnover_days,interest_coverage_proxy,liability_100m_rmb,total_assets_estimated_100m_rmb,staff_num
600170,上海建工集团股份有限公司,上海建工,600170.SH,2021,2022-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600170,2026-06-29,2810.55,21.4969,37.69,12.4721,3.6891,85.4234,1.1412,0.8524,0.3578,9.4282,1.4403,11.0900,63.6559,158.1192,189.6935,3.3792,3021.99,3537.66,51369
600170,上海建工集团股份有限公司,上海建工,600170.SH,2022,2023-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600170,2026-06-29,2860.37,1.7723,13.56,-64.0285,3.1316,86.0743,1.1358,0.8748,0.3633,9.0437,0.5873,2.8600,74.0646,156.3252,208.0431,2.5843,3157.24,3668.04,51353
600170,上海建工集团股份有限公司,上海建工,600170.SH,2023,2024-04-23,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600170,2026-06-29,3046.28,6.4995,15.58,14.9134,6.8875,86.5971,1.0825,0.8551,0.3760,8.8688,0.5443,5.2100,74.7186,140.8474,213.2871,5.6483,3308.68,3820.78,51272
600170,上海建工集团股份有限公司,上海建工,600170.SH,2024,2025-04-15,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600170,2026-06-29,3002.17,-1.4480,21.68,39.1452,4.0414,86.5891,1.0441,0.8308,0.3748,8.7382,0.7080,5.2100,78.7576,136.4531,234.5609,4.1382,3349.88,3868.71,48821
600170,上海建工集团股份有限公司,上海建工,600170.SH,2025,2026-04-15,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600170,2026-06-29,2059.97,-31.3840,12.37,-42.9283,3.1845,86.0108,1.0680,0.8408,0.4033,10.3081,0.5021,2.1600,109.1117,194.7254,343.7388,2.5038,3183.08,3700.79,44126
600502,安徽建工集团股份有限公司,安徽建工,600502.SH,2021,2022-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600502,2026-06-29,713.40,25.2182,10.96,34.3229,-7.6982,84.5149,1.1094,0.9006,0.1620,11.1782,1.9810,10.4100,121.4965,177.7610,168.4329,,1072.29,1268.76,17010
600502,安徽建工集团股份有限公司,安徽建工,600502.SH,2022,2023-03-30,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600502,2026-06-29,801.20,12.3068,13.80,25.9372,-0.9770,84.5821,1.1057,0.9058,0.1661,11.6676,2.2872,11.7600,143.6255,177.0179,190.1979,,1260.80,1490.62,18060
600502,安徽建工集团股份有限公司,安徽建工,600502.SH,2023,2024-03-27,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600502,2026-06-29,912.44,13.8846,15.53,12.5695,4.0231,85.9530,1.0704,0.9237,0.1487,12.4359,2.2551,11.4100,166.2726,168.5470,215.6262,1.4858,1470.51,1710.84,18202
600502,安徽建工集团股份有限公司,安徽建工,600502.SH,2024,2025-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600502,2026-06-29,965.02,5.7628,13.45,-13.4279,1.2587,86.5149,1.0052,0.9088,0.1436,12.3963,2.1029,10.4100,190.8974,170.7218,256.4959,0.5025,1747.42,2019.79,17797
600502,安徽建工集团股份有限公司,安徽建工,600502.SH,2025,2026-03-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600502,2026-06-29,831.98,-13.7862,15.26,13.4520,1.5485,86.4910,0.9824,0.9205,0.1500,14.8045,2.6686,9.0500,230.6036,221.2366,349.3314,0.6001,1975.17,2283.67,17032
600820,上海隧道工程股份有限公司,隧道股份,600820.SH,2021,2022-04-26,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600820,2026-06-29,622.26,15.2033,23.93,5.8730,5.0362,77.3676,0.8536,0.8443,0.2366,13.0604,3.9000,9.9100,106.6736,139.1899,281.1021,1.8178,1003.90,1297.57,15765
600820,上海隧道工程股份有限公司,隧道股份,600820.SH,2022,2023-04-22,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600820,2026-06-29,722.97,16.1842,28.55,19.3198,5.5971,77.6814,0.9023,0.8948,0.2274,12.2525,4.2045,10.8200,103.4379,168.0121,326.5168,2.4413,1187.57,1528.77,16974
600820,上海隧道工程股份有限公司,隧道股份,600820.SH,2023,2024-04-20,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600820,2026-06-29,742.16,2.6540,29.45,3.1441,4.2857,77.9749,0.8925,0.8805,0.2235,10.2924,4.2859,10.3300,103.3067,206.5745,375.1438,1.7398,1262.66,1619.32,17978
600820,上海隧道工程股份有限公司,隧道股份,600820.SH,2024,2025-04-26,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600820,2026-06-29,688.16,-7.2763,28.41,-3.5350,6.6658,77.1973,0.9104,0.8997,0.2254,12.1538,4.2956,9.4000,115.8754,262.3480,453.0351,2.6727,1333.54,1727.44,17492
600820,上海隧道工程股份有限公司,隧道股份,600820.SH,2025,2026-04-23,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH600820,2026-06-29,579.27,-15.8225,22.14,-22.0717,3.7842,75.8008,0.9099,0.9013,0.2353,13.9903,4.0055,6.6000,140.9640,364.4385,562.2254,1.4978,1378.09,1818.04,17143
601117,中国化学工程股份有限公司,中国化学,601117.SH,2021,2022-04-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601117,2026-06-29,1379.19,25.3864,46.33,26.6365,1.6328,70.4877,1.1845,1.1397,0.3902,9.4905,3.6447,11.2100,51.6089,91.7934,152.0791,9.7216,1253.95,1778.96,42820
601117,中国化学工程股份有限公司,中国化学,601117.SH,2022,2023-03-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601117,2026-06-29,1584.37,14.8773,54.15,16.8728,0.9508,70.0228,1.1858,1.1371,0.3400,9.3372,3.6635,10.7100,53.4672,96.7423,146.8751,5.3734,1362.40,1945.66,46713
601117,中国化学工程股份有限公司,中国化学,601117.SH,2023,2024-04-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601117,2026-06-29,1791.96,13.1022,54.26,0.2018,5.1212,70.7587,1.1800,1.1416,0.3459,9.4096,3.3480,9.8300,51.7699,103.7002,152.0691,25.0901,1550.43,2191.15,48833
601117,中国化学工程股份有限公司,中国化学,601117.SH,2024,2025-04-30,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601117,2026-06-29,1866.13,4.1391,56.88,4.8247,4.6933,70.4835,1.1258,1.0882,0.3294,10.1101,3.3587,9.5000,60.5407,112.0963,177.6093,24.7775,1645.24,2334.21,51001
601117,中国化学工程股份有限公司,中国化学,601117.SH,2025,2026-03-25,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601117,2026-06-29,1901.25,1.8818,64.36,13.1544,0.7617,69.8644,1.1237,1.0895,0.2760,10.7115,3.7346,9.9300,72.7233,113.3193,184.2797,5.0964,1728.12,2473.53,50598
601186,中国铁建股份有限公司,中国铁建,601186.SH,2021,2022-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601186,2026-06-29,10200.10,12.0490,246.91,10.2602,-0.7161,74.3902,1.0917,0.7558,0.1530,9.5963,2.8740,11.1000,49.6537,170.4609,138.8641,-0.6088,10064.77,13529.70,267760
601186,中国铁建股份有限公司,中国铁建,601186.SH,2022,2023-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601186,2026-06-29,10963.13,7.4806,266.81,8.0607,5.1203,74.6757,1.0807,0.7599,0.1705,10.0852,2.9001,11.0700,48.7482,188.1083,143.8237,4.4718,11379.94,15239.14,269577
601186,中国铁建股份有限公司,中国铁建,601186.SH,2023,2024-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601186,2026-06-29,11379.93,3.8019,260.97,-2.1882,1.7937,74.9179,1.0668,0.7586,0.1689,10.3906,2.8409,9.8000,46.9835,203.6454,161.8874,1.4798,12459.00,16630.20,267587
601186,中国铁建股份有限公司,中国铁建,601186.SH,2024,2025-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601186,2026-06-29,10671.71,-6.2234,222.15,-14.8749,-2.9446,77.3144,1.0281,0.7709,0.1683,10.2673,2.5374,7.6900,60.8171,223.7385,188.7930,-2.0083,14402.46,18628.43,264045
601186,中国铁建股份有限公司,中国铁建,601186.SH,2025,2026-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601186,2026-06-29,10297.84,-3.5034,183.63,-17.3416,0.2871,79.5110,1.0275,0.8080,0.1593,9.7222,2.1060,5.9100,77.9202,238.3714,213.7929,0.1616,16568.70,20838.25,250306
601390,中国中铁股份有限公司,中国中铁,601390.SH,2021,2022-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601390,2026-06-29,10732.72,10.1075,276.18,9.6468,1.2210,73.6847,1.0164,0.7582,0.2362,9.9972,2.8465,11.6300,38.6760,128.7594,117.2990,1.0702,10033.84,13617.26,294013
601390,中国中铁股份有限公司,中国中铁,601390.SH,2022,2023-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601390,2026-06-29,11543.58,7.5551,312.73,13.2353,3.7822,73.7791,1.0288,0.7908,0.2848,9.8096,3.0366,12.1300,38.1975,126.5568,122.4735,2.8702,11902.64,16132.82,297620
601390,中国中铁股份有限公司,中国中铁,601390.SH,2023,2024-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601390,2026-06-29,12634.75,9.4525,334.83,7.0665,3.0427,74.8610,0.9951,0.7781,0.2408,10.0091,2.9850,11.8100,39.8433,131.8551,144.1398,2.2664,13695.37,18294.39,299652
601390,中国中铁股份有限公司,中国中铁,601390.SH,2024,2025-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601390,2026-06-29,11603.11,-8.1650,278.87,-16.7132,2.4235,77.3916,0.9905,0.7980,0.2054,9.8032,2.6574,9.0900,62.6800,178.0024,213.4659,1.5468,17462.74,22564.14,297359
601390,中国中铁股份有限公司,中国中铁,601390.SH,2025,2026-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601390,2026-06-29,10934.94,-5.7586,228.92,-17.9119,2.6381,78.1186,0.9606,0.7917,0.1910,9.3389,2.4157,6.7200,88.3098,215.0459,278.3057,1.6788,19299.82,24705.81,289250
601618,中国冶金科工股份有限公司,中国中冶,601618.SH,2021,2022-03-30,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601618,2026-06-29,5005.72,25.1071,83.75,6.5222,3.5240,72.1442,1.1489,0.9765,0.1165,10.6152,2.3188,9.0500,55.1315,119.4062,116.2575,4.3224,3920.82,5434.70,97972
