year,risk_category,risk_label,term,term_source,exact_mentions,jieba_token_count,jieba_weight
2021,liquidity,流动性风险,现金流,seed,160,160,0.012444
2021,liquidity,流动性风险,资金,seed,154,148,0.006038
2021,liquidity,流动性风险,回款,seed,4,4,0.0
2021,liquidity,流动性风险,流动性,seed,21,21,0.0
2021,liquidity,流动性风险,短期债务,seed,0,0,0.0
2021,liquidity,流动性风险,融资,seed,274,98,0.005213
2021,liquidity,流动性风险,筹资,seed,19,18,0.0
2021,liquidity,流动性风险,到期,seed,144,144,0.008971
2021,liquidity,流动性风险,偿付,seed,9,9,0.0
2021,liquidity,流动性风险,收支,word2vec,1,1,0.0
2021,liquidity,流动性风险,本息,word2vec,0,0,0.0
2021,liquidity,流动性风险,库存现金,word2vec,3,3,0.0
2021,liquidity,流动性风险,现金结算,word2vec,0,0,0.0
2021,liquidity,流动性风险,现金额,word2vec,1,1,0.0
2021,liquidity,流动性风险,现金,word2vec,374,181,0.011157
2021,liquidity,流动性风险,自筹资金,word2vec,1,1,0.0
2021,liquidity,流动性风险,流动资金,word2vec,0,0,0.0
2021,liquidity,流动性风险,流动,word2vec,175,68,0.004133
2021,solvency,偿债风险,资产负债率,seed,9,9,0.0
2021,solvency,偿债风险,负债,seed,378,301,0.021477
2021,solvency,偿债风险,债券,seed,640,640,0.033849
2021,solvency,偿债风险,借款,seed,152,146,0.010641
2021,solvency,偿债风险,利息,seed,301,298,0.019089
2021,solvency,偿债风险,利息保障倍数,seed,3,3,0.0
2021,solvency,偿债风险,债务,seed,79,74,0.004324
2021,solvency,偿债风险,兑付,seed,136,136,0.011148
2021,solvency,偿债风险,票面价格,word2vec,7,7,0.0
2021,solvency,偿债风险,浮息,word2vec,1,1,0.0
2021,solvency,偿债风险,抵押借款,word2vec,6,6,0.0
2021,solvency,偿债风险,筹措,word2vec,1,1,0.0
2021,solvency,偿债风险,定息,word2vec,1,1,0.0
2021,solvency,偿债风险,公司债,word2vec,296,2,0.0
2021,solvency,偿债风险,债权人,word2vec,1,1,0.0
