year,risk_category,risk_label,total_tokens,seed_terms,seed_exact_mentions,seed_token_count,mentions_per_10k_tokens,jieba_weight_sum,log_weighted_text_risk,probability_proxy_score,text_weight_score,combined_text_risk_score
2021,liquidity,流动性风险,68868,9,785,602,113.9862,0.032666,6.884738,45.35,32.49,84.11
2021,solvency,偿债风险,68868,8,1698,1607,246.5586,0.100528,8.185502,98.09,100.0,100.0
2021,operation,营运风险,68868,8,624,622,90.6081,0.053681,6.783335,36.05,53.4,82.87
2021,profitability,盈利风险,68868,8,791,684,114.8574,0.034455,6.904535,45.7,34.27,84.35
2021,project,项目风险,68868,8,896,781,130.104,0.034431,7.033151,51.76,34.25,85.92
2021,compliance,合规风险,68868,8,259,257,37.6082,0.011175,5.622823,14.96,11.12,68.69
2021,market,市场风险,68868,8,1529,1354,222.0189,0.046278,7.672381,88.33,46.03,93.73
2021,organizational_propagation,组织传导风险,68868,8,1731,817,251.3504,0.059097,7.897717,100.0,58.79,96.48
2022,liquidity,流动性风险,62859,9,741,569,117.8829,0.032211,6.822245,44.0,35.85,86.09
2022,solvency,偿债风险,62859,8,1437,1357,228.6069,0.089849,7.9243,85.33,100.0,100.0
2022,operation,营运风险,62859,8,588,587,93.5427,0.053354,6.71874,34.92,59.38,84.79
2022,profitability,盈利风险,62859,8,760,661,120.9055,0.035532,6.870372,45.13,39.55,86.7
2022,project,项目风险,62859,8,689,628,109.6104,0.030424,6.735564,40.91,33.86,85.0
2022,compliance,合规风险,62859,8,217,215,34.5217,0.004964,5.411222,12.89,5.52,68.29
2022,market,市场风险,62859,8,1415,1252,225.107,0.046348,7.59187,84.03,51.58,95.8
2022,organizational_propagation,组织传导风险,62859,8,1684,798,267.9012,0.061916,7.88953,100.0,68.91,99.56
2023,liquidity,流动性风险,59317,9,742,562,125.0906,0.033525,6.83232,44.11,46.38,86.68
2023,solvency,偿债风险,59317,8,1086,1005,183.0841,0.07229,7.496569,64.57,100.0,95.11
2023,operation,营运风险,59317,8,625,624,105.3661,0.060107,6.8264,37.16,83.15,86.61
2023,profitability,盈利风险,59317,8,748,637,126.1021,0.035623,6.854521,44.47,49.28,86.97
2023,project,项目风险,59317,8,680,630,114.6383,0.031496,6.729032,40.43,43.57,85.37
2023,compliance,合规风险,59317,8,187,187,31.5255,0.005214,5.263745,11.12,7.21,66.78
2023,market,市场风险,59317,8,1381,1234,232.8169,0.047371,7.573843,82.1,65.53,96.09
2023,organizational_propagation,组织传导风险,59317,8,1682,793,283.5612,0.061048,7.881815,100.0,84.45,100.0
2024,liquidity,流动性风险,68327,9,865,630,126.5971,0.033167,6.988222,43.62,31.34,84.32
2024,solvency,偿债风险,68327,8,1797,1698,263.0,0.105813,8.287441,90.62,100.0,100.0
2024,operation,营运风险,68327,8,523,522,76.5437,0.045865,6.548674,26.37,43.35,79.02
2024,profitability,盈利风险,68327,8,772,668,112.9861,0.033791,6.875,38.93,31.93,82.96
2024,project,项目风险,68327,8,928,870,135.8175,0.039938,7.107052,46.8,37.74,85.76
2024,compliance,合规风险,68327,8,225,225,32.9299,0.007582,5.461633,11.35,7.17,65.9
2024,market,市场风险,68327,8,1422,1246,208.1168,0.042989,7.572642,71.71,40.63,91.37
2024,organizational_propagation,组织传导风险,68327,8,1983,901,290.222,0.060605,8.053036,100.0,57.28,97.17
2025,liquidity,流动性风险,65182,9,835,603,128.1029,0.033871,6.956534,39.5,31.35,84.17
2025,solvency,偿债风险,65182,8,1735,1660,266.1778,0.108026,8.265143,82.07,100.0,100.0
2025,operation,营运风险,65182,8,453,452,69.4977,0.042136,6.375889,21.43,39.01,77.14
2025,profitability,盈利风险,65182,8,685,589,105.0904,0.031346,6.735597,32.4,29.02,81.49
2025,project,项目风险,65182,8,848,818,130.0973,0.038784,7.005619,40.11,35.9,84.76
2025,compliance,合规风险,65182,8,179,179,27.4616,0.003738,5.212366,8.47,3.46,63.06
2025,market,市场风险,65182,8,1448,1247,222.1472,0.045467,7.609568,68.5,42.09,92.07
2025,organizational_propagation,组织传导风险,65182,8,2114,1000,324.3227,0.072479,8.21177,100.0,67.09,99.35
