company_code,company_name,short_name,feature_year,label_year,financial_pressure_label_next_year,label_rule_score,label_reason,revenue_growth_pct,parent_net_profit_growth_pct,operating_cash_flow_to_revenue_pct,asset_liability_ratio_pct,current_ratio,quick_ratio,cash_ratio,gross_margin_pct,net_profit_margin_pct,roe_weighted_pct,receivable_turnover_days,inventory_turnover_days,payable_turnover_days,interest_coverage_proxy,log_revenue_100m,log_total_assets_100m
600170,上海建工集团股份有限公司,上海建工,2021,2022,0,2,归母净利润同比下降超过10%；资产负债率不低于75%,21.4969,12.4721,3.6891,85.4234,1.1412,0.8524,0.3578,9.4282,1.4403,11.09,63.6559,158.1192,189.6935,3.3792,7.941491211675135,8.171503403393402
600170,上海建工集团股份有限公司,上海建工,2022,2023,0,1,资产负债率不低于75%,1.7723,-64.0285,3.1316,86.0743,1.1358,0.8748,0.3633,9.0437,0.5873,2.86,74.0646,156.3252,208.0431,2.5843,7.959055810098996,8.20768532644903
600170,上海建工集团股份有限公司,上海建工,2023,2024,0,1,资产负债率不低于75%,6.4995,14.9134,6.8875,86.5971,1.0825,0.8551,0.376,8.8688,0.5443,5.21,74.7186,140.8474,213.2871,5.6483,8.022004668429645,8.24847156165736
600170,上海建工集团股份有限公司,上海建工,2024,2025,1,3,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%,-1.448,39.1452,4.0414,86.5891,1.0441,0.8308,0.3748,8.7382,0.708,5.21,78.7576,136.4531,234.5609,4.1382,8.007423676437652,8.260934847815513
600502,安徽建工集团股份有限公司,安徽建工,2021,2022,1,3,资产负债率不低于75%；经营现金流/营收不高于1%；利息保障倍数代理不高于2,25.2182,34.3229,-7.6982,84.5149,1.1094,0.9006,0.162,11.1782,1.981,10.41,121.4965,177.761,168.4329,0.0,6.571443029562289,7.146583185216398
600502,安徽建工集团股份有限公司,安徽建工,2022,2023,0,2,资产负债率不低于75%；利息保障倍数代理不高于2,12.3068,25.9372,-0.977,84.5821,1.1057,0.9058,0.1661,11.6676,2.2872,11.76,143.6255,177.0179,190.1979,0.0,6.687357953335953,7.3076180566352615
600502,安徽建工集团股份有限公司,安徽建工,2023,2024,1,3,归母净利润同比下降超过10%；资产负债率不低于75%；利息保障倍数代理不高于2,13.8846,12.5695,4.0231,85.953,1.0704,0.9237,0.1487,12.4359,2.2551,11.41,166.2726,168.547,215.6262,1.4858,6.817217692215949,7.445324094390297
600502,安徽建工集团股份有限公司,安徽建工,2024,2025,1,4,营业收入同比下降超过5%；资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,5.7628,-13.4279,1.2587,86.5149,1.0052,0.9088,0.1436,12.3963,2.1029,10.41,190.8974,170.7218,256.4959,0.5025,6.873184537931942,7.611243803048749
600820,上海隧道工程股份有限公司,隧道股份,2021,2022,0,2,资产负债率不低于75%；流动比率不高于1,15.2033,5.873,5.0362,77.3676,0.8536,0.8443,0.2366,13.0604,3.9,9.91,106.6736,139.1899,281.1021,1.8178,6.434963767200741,7.169018938005595
600820,上海隧道工程股份有限公司,隧道股份,2022,2023,1,3,资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,16.1842,19.3198,5.5971,77.6814,0.9023,0.8948,0.2274,12.2525,4.2045,10.82,103.4379,168.0121,326.5168,2.4413,6.584749955063114,7.33287267628889
