edge_id,source,target,source_label,target_label,edge_type,weight,event_id
e1,company_9a3040dd6ec0,event_ecc9b74a2852,中国中铁股份有限公司,OF2021-GUARANTEE guarantee,involves,5.00,OF2021-GUARANTEE
e2,event_ecc9b74a2852,risk_type_7526c16db72f,OF2021-GUARANTEE guarantee,organizational_propagation,classified_as,2.00,OF2021-GUARANTEE
e3,event_ecc9b74a2852,year_7104bc3a3df9,OF2021-GUARANTEE guarantee,2021,occurred_in,1.00,OF2021-GUARANTEE
e4,event_ecc9b74a2852,source_d43b27f6958a,OF2021-GUARANTEE guarantee,中国中铁2021年年度报告,evidenced_by,1.00,OF2021-GUARANTEE
e5,event_ecc9b74a2852,related_party_9a2b26d69278,OF2021-GUARANTEE guarantee,集团内子公司、房地产项目购房业主等,related_to,1.00,OF2021-GUARANTEE
e6,company_9a3040dd6ec0,event_5a19d5b814ce,中国中铁股份有限公司,OF2021-LITIGATION litigation_contingency,involves,2.00,OF2021-LITIGATION
e7,event_5a19d5b814ce,risk_type_ff0c9bc7b1c2,OF2021-LITIGATION litigation_contingency,compliance,classified_as,3.00,OF2021-LITIGATION
e8,event_5a19d5b814ce,year_7104bc3a3df9,OF2021-LITIGATION litigation_contingency,2021,occurred_in,1.00,OF2021-LITIGATION
e9,event_5a19d5b814ce,source_d43b27f6958a,OF2021-LITIGATION litigation_contingency,中国中铁2021年年度报告,evidenced_by,1.00,OF2021-LITIGATION
e10,event_5a19d5b814ce,related_party_542e62056c04,OF2021-LITIGATION litigation_contingency,客户、分包商、供应商等,related_to,1.00,OF2021-LITIGATION
e11,company_9a3040dd6ec0,event_26a1ecc1aded,中国中铁股份有限公司,OF2022-GUARANTEE guarantee,involves,5.00,OF2022-GUARANTEE
e12,event_26a1ecc1aded,risk_type_7526c16db72f,OF2022-GUARANTEE guarantee,organizational_propagation,classified_as,2.00,OF2022-GUARANTEE
e13,event_26a1ecc1aded,year_63ff7434bd7c,OF2022-GUARANTEE guarantee,2022,occurred_in,1.00,OF2022-GUARANTEE
e14,event_26a1ecc1aded,source_16fd4bf840e2,OF2022-GUARANTEE guarantee,中国中铁2022年年度报告,evidenced_by,1.00,OF2022-GUARANTEE
e15,event_26a1ecc1aded,related_party_9a2b26d69278,OF2022-GUARANTEE guarantee,集团内子公司、房地产项目购房业主等,related_to,1.00,OF2022-GUARANTEE
e16,company_9a3040dd6ec0,event_1ab59aa13d18,中国中铁股份有限公司,OF2022-LITIGATION litigation_contingency,involves,2.00,OF2022-LITIGATION
e17,event_1ab59aa13d18,risk_type_ff0c9bc7b1c2,OF2022-LITIGATION litigation_contingency,compliance,classified_as,3.00,OF2022-LITIGATION
e18,event_1ab59aa13d18,year_63ff7434bd7c,OF2022-LITIGATION litigation_contingency,2022,occurred_in,1.00,OF2022-LITIGATION
e19,event_1ab59aa13d18,source_16fd4bf840e2,OF2022-LITIGATION litigation_contingency,中国中铁2022年年度报告,evidenced_by,1.00,OF2022-LITIGATION
e20,event_1ab59aa13d18,related_party_542e62056c04,OF2022-LITIGATION litigation_contingency,客户、分包商、供应商等,related_to,1.00,OF2022-LITIGATION
e21,company_086b1b86cf7d,event_745090759f1f,中铁十局集团第二工程有限公司,EX2023-EXEC-10J-2-LIMIT restricted_consumption,involves,2.00,EX2023-EXEC-10J-2-LIMIT
e22,event_745090759f1f,risk_type_ed6a9edb2628,EX2023-EXEC-10J-2-LIMIT restricted_consumption,liquidity,classified_as,4.00,EX2023-EXEC-10J-2-LIMIT
e23,event_745090759f1f,year_3af67127ffe8,EX2023-EXEC-10J-2-LIMIT restricted_consumption,2023,occurred_in,1.00,EX2023-EXEC-10J-2-LIMIT
e24,event_745090759f1f,source_3c59d69e8115,EX2023-EXEC-10J-2-LIMIT restricted_consumption,每日经济新闻调查报道,evidenced_by,1.00,EX2023-EXEC-10J-2-LIMIT
e25,event_745090759f1f,related_party_94a7abcc77d7,EX2023-EXEC-10J-2-LIMIT restricted_consumption,新野县安鑫商贸有限公司；郑州市金水区人民法院,related_to,1.00,EX2023-EXEC-10J-2-LIMIT
e26,company_7615305be336,event_fbfe31b0371e,中铁六局集团路桥建设有限公司,EX2023-EXEC-6J-ROADBRIDGE execution_case,involves,3.00,EX2023-EXEC-6J-ROADBRIDGE
e27,event_fbfe31b0371e,risk_type_ed6a9edb2628,EX2023-EXEC-6J-ROADBRIDGE execution_case,liquidity,classified_as,4.00,EX2023-EXEC-6J-ROADBRIDGE
e28,event_fbfe31b0371e,year_3af67127ffe8,EX2023-EXEC-6J-ROADBRIDGE execution_case,2023,occurred_in,1.00,EX2023-EXEC-6J-ROADBRIDGE
e29,event_fbfe31b0371e,source_090f4f535381,EX2023-EXEC-6J-ROADBRIDGE execution_case,中国质量新闻网/新浪财经转引中国执行信息公开网,evidenced_by,1.00,EX2023-EXEC-6J-ROADBRIDGE
e30,event_fbfe31b0371e,related_party_8315c2bb5b76,EX2023-EXEC-6J-ROADBRIDGE execution_case,玉溪市红塔区人民法院等,related_to,1.00,EX2023-EXEC-6J-ROADBRIDGE
e31,company_334ef122f170,event_8b2452c17a14,中铁广州工程局集团第三工程有限公司,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,involves,3.00,EX2023-EXEC-GZ-417
e32,event_8b2452c17a14,risk_type_ff0c9bc7b1c2,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,compliance,classified_as,4.00,EX2023-EXEC-GZ-417
e33,event_8b2452c17a14,year_3af67127ffe8,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,2023,occurred_in,1.00,EX2023-EXEC-GZ-417
e34,event_8b2452c17a14,source_5d3eb3bfff6c,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,每日经济新闻转引中国执行信息公开网,evidenced_by,1.00,EX2023-EXEC-GZ-417
e35,event_8b2452c17a14,related_party_2b6ee0713c37,EX2023-EXEC-GZ-417 dishonest_judgment_debtor,陕西康力建工有限公司；天等县人民法院,related_to,1.00,EX2023-EXEC-GZ-417
e36,company_d637e6129c10,event_71f327618b65,中铁隧道集团三处有限公司,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,involves,2.00,EX2023-EXEC-TUNNEL-3-LIMIT
e37,event_71f327618b65,risk_type_ed6a9edb2628,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,liquidity,classified_as,4.00,EX2023-EXEC-TUNNEL-3-LIMIT
e38,event_71f327618b65,year_3af67127ffe8,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,2023,occurred_in,1.00,EX2023-EXEC-TUNNEL-3-LIMIT
e39,event_71f327618b65,source_3c59d69e8115,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,每日经济新闻调查报道,evidenced_by,1.00,EX2023-EXEC-TUNNEL-3-LIMIT
e40,event_71f327618b65,related_party_3bf944c5de0f,EX2023-EXEC-TUNNEL-3-LIMIT restricted_consumption,深圳市柳空压缩机有限公司等五家公司；深圳市南山区人民法院,related_to,1.00,EX2023-EXEC-TUNNEL-3-LIMIT
e41,company_da2659b5b6a6,event_9ed9eadb3f99,中铁上海工程局集团有限公司,EX2023-WENSHU-SH-230 civil_litigation,involves,2.00,EX2023-WENSHU-SH-230
e42,event_9ed9eadb3f99,risk_type_ff0c9bc7b1c2,EX2023-WENSHU-SH-230 civil_litigation,compliance,classified_as,3.00,EX2023-WENSHU-SH-230
e43,event_9ed9eadb3f99,year_3af67127ffe8,EX2023-WENSHU-SH-230 civil_litigation,2023,occurred_in,1.00,EX2023-WENSHU-SH-230
e44,event_9ed9eadb3f99,source_8908b2179054,EX2023-WENSHU-SH-230 civil_litigation,上海铁路运输法院民事判决书（2023）沪7101民初230号,evidenced_by,1.00,EX2023-WENSHU-SH-230
e45,event_9ed9eadb3f99,related_party_9b8069f014c6,EX2023-WENSHU-SH-230 civil_litigation,河北通力金属制品有限公司,related_to,1.00,EX2023-WENSHU-SH-230
e46,company_da2659b5b6a6,event_e368d51d2d60,中铁上海工程局集团有限公司,EX2023-WENSHU-SH-496 civil_litigation,involves,2.00,EX2023-WENSHU-SH-496
e47,event_e368d51d2d60,risk_type_ff0c9bc7b1c2,EX2023-WENSHU-SH-496 civil_litigation,compliance,classified_as,3.00,EX2023-WENSHU-SH-496
e48,event_e368d51d2d60,year_3af67127ffe8,EX2023-WENSHU-SH-496 civil_litigation,2023,occurred_in,1.00,EX2023-WENSHU-SH-496
e49,event_e368d51d2d60,source_1169c7f6d0d9,EX2023-WENSHU-SH-496 civil_litigation,上海铁路运输法院民事判决书（2023）沪7101民初496号,evidenced_by,1.00,EX2023-WENSHU-SH-496
e50,event_e368d51d2d60,related_party_663dc7dcee66,EX2023-WENSHU-SH-496 civil_litigation,江苏诚鑫达供应链管理有限公司,related_to,1.00,EX2023-WENSHU-SH-496
e51,company_9a3040dd6ec0,event_3f4895d96d03,中国中铁股份有限公司,OF2023-GUARANTEE guarantee,involves,5.00,OF2023-GUARANTEE
e52,event_3f4895d96d03,risk_type_7526c16db72f,OF2023-GUARANTEE guarantee,organizational_propagation,classified_as,2.00,OF2023-GUARANTEE
e53,event_3f4895d96d03,year_3af67127ffe8,OF2023-GUARANTEE guarantee,2023,occurred_in,1.00,OF2023-GUARANTEE
e54,event_3f4895d96d03,source_cac3c121eff2,OF2023-GUARANTEE guarantee,中国中铁2023年年度报告,evidenced_by,1.00,OF2023-GUARANTEE
e55,event_3f4895d96d03,related_party_9a2b26d69278,OF2023-GUARANTEE guarantee,集团内子公司、房地产项目购房业主等,related_to,1.00,OF2023-GUARANTEE
e56,company_9a3040dd6ec0,event_fd9be5b38eca,中国中铁股份有限公司,OF2023-LITIGATION litigation_contingency,involves,2.00,OF2023-LITIGATION
e57,event_fd9be5b38eca,risk_type_ff0c9bc7b1c2,OF2023-LITIGATION litigation_contingency,compliance,classified_as,3.00,OF2023-LITIGATION
e58,event_fd9be5b38eca,year_3af67127ffe8,OF2023-LITIGATION litigation_contingency,2023,occurred_in,1.00,OF2023-LITIGATION
e59,event_fd9be5b38eca,source_cac3c121eff2,OF2023-LITIGATION litigation_contingency,中国中铁2023年年度报告,evidenced_by,1.00,OF2023-LITIGATION
e60,event_fd9be5b38eca,related_party_542e62056c04,OF2023-LITIGATION litigation_contingency,客户、分包商、供应商等,related_to,1.00,OF2023-LITIGATION
e61,company_6cf95965d0e2,event_f7093df3364d,中铁九局集团有限公司,EX2024-WENSHU-LN-1533 civil_litigation,involves,2.00,EX2024-WENSHU-LN-1533
e62,event_f7093df3364d,risk_type_bcdbd26b39eb,EX2024-WENSHU-LN-1533 civil_litigation,project,classified_as,3.00,EX2024-WENSHU-LN-1533
e63,event_f7093df3364d,year_bc19ba460f1f,EX2024-WENSHU-LN-1533 civil_litigation,2024,occurred_in,1.00,EX2024-WENSHU-LN-1533
e64,event_f7093df3364d,source_d4928b8092a6,EX2024-WENSHU-LN-1533 civil_litigation,辽宁省朝阳市中级人民法院二审判决书（2024）辽13民终1533号,evidenced_by,1.00,EX2024-WENSHU-LN-1533
e65,event_f7093df3364d,related_party_835f65054b59,EX2024-WENSHU-LN-1533 civil_litigation,辽宁华展市政工程有限公司,related_to,1.00,EX2024-WENSHU-LN-1533
e66,company_9a3040dd6ec0,event_c47f0a9b19dd,中国中铁股份有限公司,OF2024-CONTRACT-ASSET asset_quality_signal,involves,5.00,OF2024-CONTRACT-ASSET
e67,event_c47f0a9b19dd,risk_type_02d87bf49ed7,OF2024-CONTRACT-ASSET asset_quality_signal,operation,classified_as,4.00,OF2024-CONTRACT-ASSET
e68,event_c47f0a9b19dd,year_bc19ba460f1f,OF2024-CONTRACT-ASSET asset_quality_signal,2024,occurred_in,1.00,OF2024-CONTRACT-ASSET
e69,event_c47f0a9b19dd,source_c9ee6d60b2e8,OF2024-CONTRACT-ASSET asset_quality_signal,中国中铁2024年年度报告,evidenced_by,1.00,OF2024-CONTRACT-ASSET
e70,company_9a3040dd6ec0,event_2551562add1b,中国中铁股份有限公司,OF2024-GUARANTEE guarantee,involves,4.00,OF2024-GUARANTEE
e71,event_2551562add1b,risk_type_7526c16db72f,OF2024-GUARANTEE guarantee,organizational_propagation,classified_as,2.00,OF2024-GUARANTEE
e72,event_2551562add1b,year_bc19ba460f1f,OF2024-GUARANTEE guarantee,2024,occurred_in,1.00,OF2024-GUARANTEE
e73,event_2551562add1b,source_c9ee6d60b2e8,OF2024-GUARANTEE guarantee,中国中铁2024年年度报告,evidenced_by,1.00,OF2024-GUARANTEE
e74,event_2551562add1b,related_party_9a2b26d69278,OF2024-GUARANTEE guarantee,集团内子公司、房地产项目购房业主等,related_to,1.00,OF2024-GUARANTEE
e75,company_9a3040dd6ec0,event_ee7a720eb916,中国中铁股份有限公司,OF2024-LITIGATION litigation_contingency,involves,2.00,OF2024-LITIGATION
e76,event_ee7a720eb916,risk_type_ff0c9bc7b1c2,OF2024-LITIGATION litigation_contingency,compliance,classified_as,3.00,OF2024-LITIGATION
e77,event_ee7a720eb916,year_bc19ba460f1f,OF2024-LITIGATION litigation_contingency,2024,occurred_in,1.00,OF2024-LITIGATION
e78,event_ee7a720eb916,source_c9ee6d60b2e8,OF2024-LITIGATION litigation_contingency,中国中铁2024年年度报告,evidenced_by,1.00,OF2024-LITIGATION
